Place_Id,Mean_Rating,Place_Name,Category,City,Price,Time_Minutes,Lat,Long
1,3.7222222222222223,Monumen Nasional,Budaya,Jakarta,20000,15.0,-6.1753924,106.8271528
2,2.84,Kota Tua,Budaya,Jakarta,0,90.0,-6.1376448,106.8171245
3,2.526315789473684,Dunia Fantasi,Taman Hiburan,Jakarta,270000,360.0,-6.1253124,106.8335377
4,2.857142857142857,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,10000,90.0,-6.3024459,106.8951559
5,3.52,Atlantis Water Adventure,Taman Hiburan,Jakarta,94000,60.0,-6.12419,106.839134
6,2.9583333333333335,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,25000,10.0,-6.1173332,106.8579951
7,3.0476190476190474,Kebun Binatang Ragunan,Cagar Alam,Jakarta,4000,90.0,-6.3124593,106.8201865
8,3.1333333333333333,Ocean Ecopark,Taman Hiburan,Jakarta,180000,90.0,-6.1258017,106.8363249
9,2.5789473684210527,Pelabuhan Marina,Bahari,Jakarta,175000,90.0,1.07888,103.931398
10,2.7142857142857144,Pulau Tidung,Bahari,Jakarta,150000,90.0,-5.8032053,106.5237907
11,2.5833333333333335,Pulau Bidadari,Bahari,Jakarta,5000,90.0,-6.035833,106.746944
12,2.8,Pulau Pari,Bahari,Jakarta,150000,90.0,-5.9074328,106.5863989
13,2.68,Pulau Pramuka,Bahari,Jakarta,5000,90.0,-5.745962,106.6136577
14,3.4444444444444446,Pulau Pelangi,Bahari,Jakarta,900000,90.0,-5.587055,106.5885
15,2.7083333333333335,Pasar Seni,Pusat Perbelanjaan,Jakarta,0,90.0,-6.1766868,106.8417666
16,3.0,Jembatan Kota Intan,Budaya,Jakarta,0,90.0,-6.1314572,106.8106169
17,3.0714285714285716,Museum Fatahillah,Budaya,Jakarta,5000,90.0,-6.1364489,106.8130661
18,3.4285714285714284,Museum Bank Indonesia,Budaya,Jakarta,2000,90.0,-6.137127,106.813005
19,2.5238095238095237,Kidzania,Taman Hiburan,Jakarta,185000,300.0,-6.2250735,106.8097144
20,3.0,Museum Taman Prasasti,Budaya,Jakarta,2000,90.0,-6.1722241,106.8189695
21,3.24,Museum Wayang,Budaya,Jakarta,5000,150.0,-6.1349072,106.8124452
22,2.9,Masjid Istiqlal,Tempat Ibadah,Jakarta,0,90.0,-6.17017,106.83139
23,2.6956521739130435,Gereja Katedral,Tempat Ibadah,Jakarta,0,90.0,-6.169225,106.833063
24,3.2083333333333335,Museum Nasional,Budaya,Jakarta,5000,90.0,-6.1764021,106.8215901
25,2.269230769230769,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,0,45.0,-6.1890096,106.8119312
26,2.7083333333333335,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,0,20.0,-6.1427588,106.8140791
27,3.217391304347826,Sea World,Taman Hiburan,Jakarta,115000,180.0,-6.1264775,106.842963
28,3.588235294117647,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,35000,90.0,-6.3568093,106.9062371
29,2.6363636363636362,Wisata Kuliner Pecenongan,Pusat Perbelanjaan,Jakarta,0,90.0,-6.1667887,106.8265261
30,3.1818181818181817,Taman Menteng,Taman Hiburan,Jakarta,0,90.0,-6.1964087,106.8293106
31,3.375,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,25000,90.0,-6.105334,106.735584
32,3.4,Setu Babakan,Budaya,Jakarta,0,90.0,-6.3416667,106.8238889
